"Method","Name","Error","Occurrences"
"GET","Browse Facets","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bsubject_sim%5D%5B%5D=Crime (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0c48940>: Failed to establish a new connection: [Errno 110] Connection timed out',))",8
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Collection+of+California+Postcards (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e884455f8>: Failed to establish a new connection: [Errno 24] Too many open files',))",14
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bnamed_subject_sim%5D%5B%5D=Wright%2C+Paul+A. (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e887f0e10>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",146
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=manuscript&search_field=all_fields (Caused by SSLError(OSError(24, 'Too many open files'),))",43
"GET","Collection Page","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Ethiopic+Manuscripts (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e88989be0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",158
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=manuscript&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e73dcf588>: Failed to establish a new connection: [Errno 24] Too many open files',))",6
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bhuman_readable_resource_type_sim%5D%5B%5D=text (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e883de3c8>: Failed to establish a new connection: [Errno 24] Too many open files',))",11
"GET","View Record","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog/24wg5200zz-89112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0942b70>: Failed to establish a new connection: [Errno 24] Too many open files',))",14
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=bennett&search_field=all_fields (Caused by SSLError(OSError(24, 'Too many open files'),))",42
"GET","Collection Page","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?f%5Bmember_of_collections_ssim%5D%5B%5D=Arkatov+%28James%29+collection (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88bd4860>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",129
"GET","Search keyword","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?q=piano&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e886a07f0>: Failed to establish a new connection: [Errno 24] Too many open files',))",7
"GET","Search keyword","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: /catalog?utf8=%E2%9C%93&q=still+image&search_field=all_fields (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9e88c43da0>: Failed to establish a new connection: [Errno 16] Device or resource busy',))",160
"GET","Browse Facets","HTTPSConnectionPool(host='ursus.library.ucla.edu', port=443): Max retries exceeded with url: /catalog?f%5Bsubject_sim%5D%5B%5D=Crime (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f9e8871f240>: Failed to establish a new connection: [Errno 24] Too many open files',))",10
"GET","/","HTTPConnectionPool(host='ursus.library.ucla.edu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ea0ddfda0>: Failed to establish a new connection: [Errno 24] Too many open files',))",125
